Designator,Mid X,Mid Y,Rotation,Layer
A1,326.39,-56.945,0.0,top
D1,45.1,-41.91,270.0,bottom
D10,216.55,-41.91,270.0,bottom
D11,235.6,-41.91,270.0,bottom
D12,254.65,-41.91,270.0,bottom
D13,273.7,-41.91,270.0,bottom
D14,302.275,-41.91,270.0,bottom
D15,49.8625,-60.96,270.0,bottom
D16,73.675,-60.96,270.0,bottom
D17,92.725,-60.96,270.0,bottom
D18,111.775,-60.96,270.0,bottom
D19,130.825,-60.96,270.0,bottom
D2,64.15,-41.91,270.0,bottom
D20,149.875,-60.96,270.0,bottom
D21,168.925,-60.96,270.0,bottom
D22,187.975,-60.96,270.0,bottom
D23,207.025,-60.96,270.0,bottom
D24,226.075,-60.96,270.0,bottom
D25,245.125,-60.96,270.0,bottom
D26,264.175,-60.96,270.0,bottom
D27,283.225,-60.96,270.0,bottom
D28,307.0375,-60.96,270.0,bottom
D29,52.24375,-80.01,270.0,bottom
D3,83.2,-41.91,270.0,bottom
D30,78.4375,-80.01,270.0,bottom
D31,97.4875,-80.01,270.0,bottom
D32,116.5375,-80.01,270.0,bottom
D33,135.5875,-80.01,270.0,bottom
D34,154.6375,-80.01,270.0,bottom
D35,173.6875,-80.01,270.0,bottom
D36,192.7375,-80.01,270.0,bottom
D37,211.7875,-80.01,270.0,bottom
D38,230.8375,-80.01,270.0,bottom
D39,249.8875,-80.01,270.0,bottom
D4,102.25,-41.91,270.0,bottom
D40,268.9375,-80.01,270.0,bottom
D41,299.89375,-80.01,270.0,bottom
D42,57.00625,-99.06,270.0,bottom
D43,87.9625,-99.06,270.0,bottom
D44,107.0125,-99.06,270.0,bottom
D45,126.0625,-99.06,270.0,bottom
D46,145.1125,-99.06,270.0,bottom
D47,164.1625,-99.06,270.0,bottom
D48,183.2125,-99.06,270.0,bottom
D49,202.2625,-99.06,270.0,bottom
D5,121.3,-41.91,270.0,bottom
D50,221.3125,-99.06,270.0,bottom
D51,240.3625,-99.06,270.0,bottom
D52,259.4125,-99.06,270.0,bottom
D53,295.13125,-99.06,270.0,bottom
D54,47.48125,-118.11,270.0,bottom
D55,71.29375,-118.11,270.0,bottom
D56,95.10625,-118.11,270.0,bottom
D57,166.54375,-118.11,270.0,bottom
D58,237.98125,-118.11,270.0,bottom
D59,261.79375,-118.11,270.0,bottom
D6,140.35,-41.91,270.0,bottom
D60,285.60625,-118.11,270.0,bottom
D61,309.41875,-118.11,270.0,bottom
D7,159.4,-41.91,270.0,bottom
D8,178.45,-41.91,270.0,bottom
D9,197.5,-41.91,270.0,bottom
SW1,35.56,-41.09,0.0,top
SW10,207.01,-41.09,0.0,top
SW11,226.06,-41.09,0.0,top
SW12,245.11,-41.09,0.0,top
SW13,264.16,-41.09,0.0,top
SW14,292.735,-44.0375,0.0,top
SW15,40.3225,-60.14,0.0,top
SW16,64.135,-60.14,0.0,top
SW17,83.185,-60.14,0.0,top
SW18,102.235,-60.14,0.0,top
SW19,121.285,-60.14,0.0,top
SW2,54.61,-41.09,0.0,top
SW20,140.335,-60.14,0.0,top
SW21,159.385,-60.14,0.0,top
SW22,178.435,-60.14,0.0,top
SW23,197.485,-60.14,0.0,top
SW24,216.535,-60.14,0.0,top
SW25,235.585,-60.14,0.0,top
SW26,254.635,-60.14,0.0,top
SW27,273.685,-60.14,0.0,top
SW28,297.4975,-60.14,0.0,top
SW29,42.70375,-79.19,0.0,top
SW3,73.66,-41.09,0.0,top
SW30,68.8975,-79.19,0.0,top
SW31,87.9475,-79.19,0.0,top
SW32,106.9975,-79.19,0.0,top
SW33,126.0475,-79.19,0.0,top
SW34,145.0975,-79.19,0.0,top
SW35,164.1475,-79.19,0.0,top
SW36,183.1975,-79.19,0.0,top
SW37,202.2475,-79.19,0.0,top
SW38,221.2975,-79.19,0.0,top
SW39,240.3475,-79.19,0.0,top
SW4,92.71,-41.09,0.0,top
SW40,259.3975,-79.19,0.0,top
SW41,290.35375,-82.1375,0.0,top
SW42,47.46625,-101.1875,0.0,top
SW43,78.4225,-98.24,0.0,top
SW44,97.4725,-98.24,0.0,top
SW45,116.5225,-98.24,0.0,top
SW46,135.5725,-98.24,0.0,top
SW47,154.6225,-98.24,0.0,top
SW48,173.6725,-98.24,0.0,top
SW49,192.7225,-98.24,0.0,top
SW5,111.76,-41.09,0.0,top
SW50,211.7725,-98.24,0.0,top
SW51,230.8225,-98.24,0.0,top
SW52,249.8725,-98.24,0.0,top
SW53,285.59125,-101.1875,0.0,top
SW54,37.94125,-117.29,0.0,top
SW55,61.75375,-117.29,0.0,top
SW56,85.56625,-117.29,0.0,top
SW57,157.00375,-120.2375,0.0,top
SW58,228.44125,-117.29,0.0,top
SW59,252.25375,-117.29,0.0,top
SW6,130.81,-41.09,0.0,top
SW60,276.06625,-117.29,0.0,top
SW61,299.87875,-117.29,0.0,top
SW7,149.86,-41.09,0.0,top
SW8,168.91,-41.09,0.0,top
SW9,187.96,-41.09,0.0,top
